材料,種別
ぶり,02鮮魚
ほたて,02鮮魚
しじみ,02鮮魚
鱈,02鮮魚
鮭,02鮮魚
昆布の佃煮,02鮮魚付近
かにかま,02鮮魚付近
鮭フレーク,02鮮魚付近
合挽き肉,03精肉
ウインナー,03精肉
牛脂,03精肉
こてっちゃん,03精肉
ソーセージ魚,03精肉
そぼろ（石井）,03精肉
たまご,03精肉
鶏団子,03精肉
鶏肉(煮物),03精肉
ナゲット,03精肉
鶏もも肉,03精肉
ハム,03精肉
ひき肉,03精肉
豚肉（しゃぶ）,03精肉
ベーコン,03精肉
もつ,03精肉
牛肉,03精肉
胸肉,03精肉
鶏ひき肉,03精肉
鶏胸ひき肉,03精肉
鶏胸肉,03精肉
鶏肉モモ,03精肉
手羽,03精肉
焼肉の肉,03精肉
豚こま肉,03精肉
豚バラ,03精肉
豚ひき肉,03精肉
豚ロース切り身,03精肉
豚肉薄切り,03精肉
豚肉肩ロース,03精肉
肉,03精肉
餃子の皮,03精肉付近
稲荷用油揚げ,04その他
梅ジュース,04その他
オイスターソース,04その他
おから,04その他
かつおぶし,04その他
から揚げ粉,04その他
カレー粉,04その他
缶詰 さば,04その他
缶詰 さんま,04その他
きくらげ,04その他
キッチンペーパー,04その他
キムチ鍋の素,04その他
キムチの素,04その他
コチュジャン,04その他
コンソメ,04その他
砂糖,04その他
サバ水煮2,04その他
食パン8枚切り2P,04その他
しろごま,04その他
すし太郎,04その他
そうめん,04その他
そば,04その他
炭酸ジュース,04その他
チンジャオロース素,04その他
ツナ,04その他
トマトソース（カゴメ）,04その他
ナツメグ,04その他
煮込みラーメン素,04その他
のり,04その他
パスタ,04その他
パスタソース,04その他
ハヤシルー,04その他
ビーフン,04その他
ビール,04その他
ピザ（市販）,04その他
ひじき,04その他
鍋の素,04その他
回鍋肉の素,04その他
ほしシイタケ,04その他
マカロニ,04その他
まつや鍋の素,04その他
味噌汁（即席）,04その他
もやしのにんにく醤油炒めの素,04その他
焼肉のたれ,04その他
ラーメン,04その他
レトルトカレー,04その他
わかめ,04その他
春雨,04その他
牛乳,04その他
春巻きの皮,04その他
浅漬けの素,04その他
豚バラ大根素,04その他
肉みそキャベツ,04その他
グラタンの素(ハウス）,04その他
ミートソース,04その他
片栗粉,04その他
麻婆春雨の素,04その他
油,04その他
クリームシチュー素,04その他（惣菜系）
コロッケ（惣菜）,04その他（惣菜系）
サバの味噌煮（市販）,04その他（惣菜系）
市販惣菜,04その他（惣菜系）
スペアリブ風ジューシー豚バラ（うちのごはん）,04その他（惣菜系）
天ぷら（惣菜）,04その他（惣菜系）
市販惣菜(サバ）,04その他（惣菜系）
おでん汁の素,04その他(調味料）
ケチャップ,04その他(調味料）
ごましお,04その他(調味料）
チャプチェの素,04その他(調味料）
マヨネーズ,04その他(調味料）
味噌,04その他(調味料）
めんつゆ,04その他(調味料）
料理酒,04その他(調味料）
お酢,04その他0
とり釜めしの素,04その他1
創味シャンタン,04その他1
ガパオライスの素,04その他2
カレールー,04その他2
カロリーメイト,04その他2
食パン6枚切り,04その他2
すき焼きのたれ,04その他2
なすの肉みそ炒めの素,04その他2
麻婆豆腐の素,04その他2
スライスチーズ,05乳製品
チーズ,05乳製品
チーズ（ピザ）,05乳製品
チーズ6P,05乳製品
チーズスライス,05乳製品
豆乳,05乳製品
ヨーグルト,05乳製品
冷凍照り焼き,06冷凍
冷凍ドリア,06冷凍
冷凍ブロッコリー,06冷凍
冷凍ポテト,06冷凍
春巻き（冷凍）,06冷凍
冷凍うどん,06冷凍
冷凍カツ,06冷凍
冷凍から揚げ,06冷凍
冷凍コロッケ,06冷凍
冷凍さといも,06冷凍
冷凍惣菜,06冷凍
冷凍たこ焼き,06冷凍
冷凍炒飯,06冷凍
冷凍パスタ,06冷凍
冷凍やさい,06冷凍
冷凍白身魚,06冷凍
冷凍餃子,06冷凍
